timestamp,equity,balance,positions
2022-02-06 20:00:00+00:00,1000.0,1000.0,0
2022-02-07 00:00:00+00:00,1000.0,1000.0,0
2022-02-07 04:00:00+00:00,1000.0,1000.0,0
2022-02-07 08:00:00+00:00,1000.0,1000.0,0
2022-02-07 12:00:00+00:00,1000.0,1000.0,0
2022-02-07 16:00:00+00:00,1000.0,1000.0,0
2022-02-07 20:00:00+00:00,1000.0,1000.0,0
2022-02-08 00:00:00+00:00,1000.0,1000.0,0
2022-02-08 04:00:00+00:00,1000.0,1000.0,0
2022-02-08 08:00:00+00:00,1000.0,1000.0,0
2022-02-08 12:00:00+00:00,1000.0,1000.0,0
2022-02-08 16:00:00+00:00,1000.0,1000.0,0
2022-02-08 20:00:00+00:00,1000.0,1000.0,0
2022-02-09 00:00:00+00:00,1000.0,1000.0,0
2022-02-09 04:00:00+00:00,1000.0,1000.0,0
2022-02-09 08:00:00+00:00,1000.0,1000.0,0
2022-02-09 12:00:00+00:00,1000.0,1000.0,0
2022-02-09 16:00:00+00:00,1000.0,1000.0,0
2022-02-09 20:00:00+00:00,1000.0,1000.0,0
2022-02-10 00:00:00+00:00,1000.0,1000.0,0
2022-02-10 04:00:00+00:00,1000.0,1000.0,0
2022-02-10 08:00:00+00:00,1000.0,1000.0,0
2022-02-10 12:00:00+00:00,1000.0,1000.0,0
2022-02-10 16:00:00+00:00,1000.0,1000.0,0
2022-02-10 20:00:00+00:00,1000.0,1000.0,0
2022-02-11 00:00:00+00:00,1000.0,1000.0,0
2022-02-11 04:00:00+00:00,1000.0,1000.0,0
2022-02-11 08:00:00+00:00,1000.0,1000.0,0
2022-02-11 12:00:00+00:00,1000.0,1000.0,0
2022-02-11 16:00:00+00:00,1000.0,1000.0,0
2022-02-11 20:00:00+00:00,1000.0,1000.0,0
2022-02-12 00:00:00+00:00,1000.0,1000.0,0
2022-02-12 04:00:00+00:00,1000.0,1000.0,0
2022-02-12 08:00:00+00:00,1000.0,1000.0,0
2022-02-12 12:00:00+00:00,1000.0,1000.0,0
2022-02-12 16:00:00+00:00,1000.0,1000.0,0
2022-02-12 20:00:00+00:00,1000.0,1000.0,0
2022-02-13 00:00:00+00:00,1000.0,1000.0,0
2022-02-13 04:00:00+00:00,1000.0,1000.0,0
2022-02-13 08:00:00+00:00,1000.0,1000.0,0
2022-02-13 12:00:00+00:00,1000.0,1000.0,0
2022-02-13 16:00:00+00:00,1000.0,1000.0,0
2022-02-13 20:00:00+00:00,1000.0,1000.0,0
2022-02-14 00:00:00+00:00,1000.0,1000.0,0
2022-02-14 04:00:00+00:00,1000.0,1000.0,0
2022-02-14 08:00:00+00:00,1000.0,1000.0,0
2022-02-14 12:00:00+00:00,1000.0,1000.0,0
2022-02-14 16:00:00+00:00,1000.0,1000.0,0
2022-02-14 20:00:00+00:00,1000.0,1000.0,0
2022-02-15 00:00:00+00:00,1000.0,1000.0,0
2022-02-15 04:00:00+00:00,1000.0,1000.0,0
2022-02-15 08:00:00+00:00,1000.0,1000.0,0
2022-02-15 12:00:00+00:00,1000.0,1000.0,0
2022-02-15 16:00:00+00:00,1000.0,1000.0,0
2022-02-15 20:00:00+00:00,1000.0,1000.0,0
2022-02-16 00:00:00+00:00,1000.0,1000.0,0
